names,scores,logfoldchanges,pvals,pvals_adj
GALNT13,5.1825,1.7346315,2.189317314763693e-07,1.0036815673125926e-06
AC010226.1,7.1585236,1.730586,8.15506233062765e-13,5.652857487961081e-12
MCM2,4.6921754,1.7293566,2.7031539187352578e-06,1.1316088300590665e-05
SLFN11,11.608074,1.7268304,3.74965098135631e-31,6.992871981583272e-30
ZNF883,7.559601,1.7254562,4.0430806371239145e-14,3.0538537393462806e-13
RGS11,5.0528817,1.7222949,4.3519330080264633e-07,1.9439896752327107e-06
UCHL1,10.897304,1.7215292,1.1872349510915908e-27,1.9128978023023985e-26
UHRF1,3.065319,1.7185202,0.0021743789855538597,0.006789697445256802
FAM198B,31.888393,1.717743,3.867715625473683e-223,1.4103421464309497e-220
FAM198B-AS1,16.30393,1.7167983,9.254373672429501e-60,4.239115001389071e-58
DPP4,2.6485176,1.7165399,0.008084562424512111,0.023512171106150084
PIFO,5.255688,1.715405,1.4747209395828184e-07,6.839990192244125e-07
SPOCK1,18.858236,1.7139686,2.5146725678782284e-79,1.6712019394150922e-77
CD109,8.847327,1.71243,8.964049252467157e-19,9.000749888899359e-18
PAXIP1-AS2,10.46009,1.7121886,1.3173108539725465e-25,1.923426538258229e-24
KLHL3,2.4346638,1.7101952,0.01490563323387066,0.04197539008335104
RGS7,2.8694277,1.7082299,0.004112155100803873,0.012396405341953414
AC008771.1,3.623391,1.707169,0.0002907658731159881,0.0010013663031767587
ADAM15,9.771249,1.7040187,1.4959724235262256e-22,1.8566002585392873e-21
MCM3AP-AS1,7.6511016,1.7032192,1.9926475044421768e-14,1.5326738909410504e-13
PDCD4-AS1,3.5381815,1.6979998,0.0004028929011784879,0.001366630473728205
ADAM33,19.576887,1.6949267,2.4345477114389108e-85,1.808810207161033e-83
PYGM,5.401767,1.6933148,6.598767397587882e-08,3.1453670603603884e-07
FDXR,10.479556,1.6923977,1.072454665395642e-25,1.5758714815540523e-24
TARBP1,11.306764,1.6914213,1.214886338299599e-29,2.109532900582505e-28
AC092683.1,15.327876,1.6891071,4.980083554207908e-53,1.930252525003689e-51
SPATC1L,11.743023,1.6882001,7.66954928815686e-32,1.4811583235030736e-30
F10,32.05727,1.6880709,1.7385961075496237e-225,6.786156891341228e-223
NAV3,4.954887,1.6880479,7.237237454410474e-07,3.1790388583622994e-06
APOBEC3C,20.953577,1.6863155,1.7405404928159046e-97,1.5509838803024812e-95
ADAMTS16,9.83213,1.6852133,8.186846606031073e-23,1.0294105262837528e-21
RYR1,3.3635073,1.6835684,0.0007695882813991325,0.0025272662688012987
POMC,10.831611,1.6829792,2.4382898325983097e-27,3.8790083886795036e-26
AC004494.1,2.7345376,1.6822032,0.006246795911587533,0.018422630105121348
CA4,12.524317,1.6805866,5.49628493404267e-36,1.2434166887928532e-34
PPP2R2C,8.594002,1.6799059,8.39916989388817e-18,7.987858451246495e-17
CLCN5,8.561271,1.6793078,1.1163061689572916e-17,1.0540440497551421e-16
AC007920.2,6.424033,1.676578,1.3271022167035388e-10,7.888885399293259e-10
MTRNR2L1,2.5568357,1.6763573,0.010562908720428548,0.030312715063605295
ATP6AP1L,5.586675,1.6758918,2.3145802172134503e-08,1.1495333612838056e-07
ETV2,4.584186,1.6737628,4.557585718181683e-06,1.8650970615470907e-05
RNF157,7.59337,1.6731738,3.116904480005058e-14,2.368232165419887e-13
RCOR2,6.4953823,1.672879,8.282279967924449e-11,5.006037617253877e-10
GDPGP1,2.7805982,1.667419,0.005425886070023506,0.01612175197368515
ANKRD13B,16.268715,1.6649896,1.645737734948215e-59,7.476775385019653e-58
NET1,10.577029,1.6643283,3.80841751511092e-26,5.695773048908199e-25
CCDC24,3.5004606,1.6628095,0.00046445500931431593,0.0015662217112432323
SP2-AS1,3.1417468,1.6564823,0.0016794321529325442,0.005309994666767781
FAIM2,2.7912927,1.6546799,0.0052497981561657955,0.015628709453413117
AC015813.1,3.6953602,1.6535292,0.00021957522094629778,0.0007653236194296001
REC8,10.247019,1.652945,1.2205012406760507e-24,1.6945766975378452e-23
PPP1R3G,3.0357318,1.6495445,0.002399527302495449,0.007445761967759084
TEDC2,3.0765295,1.6491688,0.002094256191932236,0.0065505780865708855
PTN,34.170048,1.6483079,6.737654968884599e-256,3.7344126430539775e-253
IL17RB,2.458153,1.6480399,0.013965364052998006,0.03950011573798058
GAS2L3,2.8381147,1.6461298,0.00453808795118155,0.013612299100670449
AC015712.2,4.2456117,1.6448686,2.1799801826957782e-05,8.387309565882007e-05
LINC00923,3.6792862,1.6443526,0.00023388766153948794,0.0008123485103702004
CRACR2A,5.0520005,1.6427107,4.3720645992780315e-07,1.9523529848500177e-06
NAP1L3,11.828053,1.6394532,2.795481339871061e-32,5.486627080159115e-31
PARM1,25.586943,1.6324426,2.1319409592586245e-144,3.992059446211774e-142
BVES,5.977872,1.6305311,2.260716110796456e-09,1.2160563970982567e-08
ECT2,4.7804213,1.6282793,1.7492821072129728e-06,7.43069513139073e-06
KCNQ1OT1,36.30675,1.6236352,1.266036131727372e-288,1.002447409101733e-285
NXNL2,10.778297,1.6226692,4.358790672879409e-27,6.820732124082838e-26
QPRT,35.12547,1.6223674,2.754272739790132e-270,1.7347536463137258e-267
DERL3,3.7497296,1.6216035,0.0001770253992831207,0.0006228929520483905
PNMA8B,3.6075165,1.6198629,0.00030914195294396124,0.0010612227105086087
KLHL35,3.7081919,1.6183941,0.00020874447282326588,0.000729224199590466
ZNF788P,3.8969445,1.6160192,9.741394853486705e-05,0.00035169785770541563
DPF1,2.4799535,1.614234,0.013139948826298646,0.03729871984259084
FERMT1,7.702026,1.6135924,1.339258169390306e-14,1.0410900883117407e-13
FANCI,4.8943214,1.6119449,9.864553149455824e-07,4.279529765667959e-06
RPRM,9.67544,1.6113862,3.8343985061199135e-22,4.642319169947626e-21
GINS4,4.855759,1.6095171,1.1992648395459675e-06,5.167168298870864e-06
NEFM,9.954075,1.6067249,2.4206363191561196e-23,3.1420653073898615e-22
CAVIN2,10.277199,1.6064495,8.928511778554861e-25,1.2484149693193283e-23
CDYL2,4.1231112,1.6053612,3.737893836249322e-05,0.00014040153413388107
PAGE4,16.97552,1.6023606,1.2464708544722565e-64,6.2240444666648e-63
AP002360.1,6.1173887,1.5994086,9.512101197285747e-10,5.279568605655516e-09
C19orf48,25.383087,1.5964483,3.8772253027725615e-142,7.022846066387974e-140
LMNB2,10.332366,1.59556,5.030414564956841e-25,7.123550272797595e-24
CYB5RL,3.314103,1.5907012,0.0009193765882965302,0.002998550475633958
MPP6,7.1801243,1.58747,6.964800805202447e-13,4.84841810385771e-12
AL158835.1,4.2788987,1.5786372,1.8782023038791816e-05,7.268624556263617e-05
TMEM144,10.630791,1.576826,2.1428786200422333e-26,3.254005216286598e-25
